Spanish,Russian,remolacha,свекла
Spanish,Russian,flaco,тощий
Spanish,Russian,merecer,заслуживать
Spanish,Russian,aguja,иголка
Spanish,Russian,communitario,член общины
Spanish,Russian,tarro,банка
Spanish,Russian,estafa,мошенничество
Spanish,Russian,códice,кодекс
Spanish,Russian,despegar,снимать
Spanish,Russian,inmersivo,захватывающий
Spanish,Russian,a partir de,от
Spanish,Russian,abastecer,поставлять
Spanish,Russian,evanescente,мимолетный
Spanish,Russian,dobleces,складки
Spanish,Russian,grietas,трещины

